"animal_id","birthsite","year_birth","year_cap","age","weight.lb","weight.kg","antler.in","antler.cm","annual.by","annual.cy","by.rain.bin","cy.rain.bin","match"
"270-2011-1-261","dmp",2011,2012,1,102,46.36,34.25,87,14.1,15.8,"dry","dry","1"
"270-2011-1-242","dmp",2011,2012,1,121,55,47.75,121.28,14.1,15.8,"dry","dry","1"
"270-2010-1-001","dmp",2010,2012,2,143,65,104.75,266.06,31.8,15.8,"wet","dry","2"
"270-2010-1-010","dmp",2010,2012,2,159,72.27,143.125,363.54,31.8,15.8,"wet","dry","2"
"270-2010-1-039","dmp",2010,2012,2,147,66.82,99.375,252.41,31.8,15.8,"wet","dry","2"
"270-2009-1-011","dmp",2009,2012,3,172,78.18,118.625,301.31,20.4,15.8,"intermediate","dry","2"
"270-2010-1-019","dmp",2010,2012,2,134,60.91,94.375,239.71,31.8,15.8,"wet","dry","2"
"270-2011-1-247","dmp",2011,2012,1,102,46.36,73.875,187.64,14.1,15.8,"dry","dry","1"
"270-2008-1-017","dmp",2008,2012,4,182,82.73,168.125,427.04,20.3,15.8,"intermediate","dry","2"
"270-2009-1-021","dmp",2009,2012,3,143,65,125.25,318.14,20.4,15.8,"intermediate","dry","2"
"270-2010-1-007","dmp",2010,2012,2,142,64.55,85.875,218.12,31.8,15.8,"wet","dry","2"
"270-2011-1-333","dmp",2011,2012,1,124,56.36,24.75,62.87,14.1,15.8,"dry","dry","1"
"270-2007-1-065","dmp",2007,2013,6,232,105.45,170.125,432.12,38.35,34.5,"wet","wet","1"
"270-2010-1-009","dmp",2010,2013,3,167,75.91,148.75,377.82,31.8,34.5,"wet","wet","1"
"270-2009-1-024","dmp",2009,2013,4,183,83.18,156.25,396.88,20.4,34.5,"intermediate","wet","3"
"270-2010-1-027","dmp",2010,2013,3,186,84.55,146.125,371.16,31.8,34.5,"wet","wet","1"
"270-2007-1-066","dmp",2007,2013,6,178,80.91,167.125,424.5,38.35,34.5,"wet","wet","1"
"270-2012-1-248","dmp",2012,2013,1,116,52.73,46.75,118.75,15.8,34.5,"dry","wet","3"
"270-2012-1-207","dmp",2012,2013,1,109,49.55,41.75,106.04,15.8,34.5,"dry","wet","3"
"270-2012-1-229","dmp",2012,2013,1,122,55.45,68.25,173.35,15.8,34.5,"dry","wet","3"
"270-2012-1-314","dmp",2012,2013,1,104,47.27,45.625,115.89,15.8,34.5,"dry","wet","3"
"270-2009-1-009","dmp",2009,2013,4,191,86.82,149.75,380.36,20.4,34.5,"intermediate","wet","3"
"270-2009-1-012","dmp",2009,2013,4,191,86.82,123,312.42,20.4,34.5,"intermediate","wet","3"
"270-2011-1-322","dmp",2011,2013,2,129,58.64,133,337.82,14.1,34.5,"dry","wet","3"
"270-2008-1-014","dmp",2008,2013,5,213,96.82,149.625,380.05,20.3,34.5,"intermediate","wet","3"
"270-2011-1-268","dmp",2011,2013,2,145,65.91,113.75,288.92,14.1,34.5,"dry","wet","3"
"270-2008-1-012","dmp",2008,2013,5,184,83.64,143.125,363.54,20.3,34.5,"intermediate","wet","3"
"270-2011-1-246","dmp",2011,2013,2,129,58.64,89.75,227.96,14.1,34.5,"dry","wet","3"
"270-2010-1-006","dmp",2010,2013,3,160,72.73,139.875,355.28,31.8,34.5,"wet","wet","1"
"270-2007-1-056","dmp",2007,2013,6,210,95.45,176.125,447.36,38.35,34.5,"wet","wet","1"
"270-2008-1-022","dmp",2008,2013,5,200,90.91,177.875,451.8,20.3,34.5,"intermediate","wet","3"
"270-2008-1-011","dmp",2008,2013,5,186,84.55,170.75,433.7,20.3,34.5,"intermediate","wet","3"
