year,pasture,sex,dressed_weight,live_weight,age,
2017,West Yana,,,103,4.5,
2017,West Yana,,,103,4.5,
2017,West Yana,,,46,0.5,
2017,West Yana,,,56,0.5,
2017,West Yana,,,117,3.5,
2017,East Yana,,,57,0.5,
2017,East Yana,,,51,0.5,
2017,East Yana,,,101,4.5,
2017,East Toro,,34,,0.5,
2017,East Toro,,34,44,0.5,
2016,Yana,,79,103,3.5,
2016,Yana,,79,103,3.5,
2016,Yana,,76,99,3.5,
2016,Yana,,69,90,3.5,
2016,Yana,,85,110,4.5,
2016,Yana,,90,117,2.5,
2016,West Toro-Fed,,44,57,1.5,
2016,Yana,,84,109,6.5,
2016,West Yana,,35,45,0.5,
2016,Yana,,88,114,4.5,
2016,Yana,,79,103,3.5,
2016,Yana,,68,88,6.5,
2016,Yana,,43,56,0.5,
2016,West Toro-Fed,,79,103,4.5,
2016,West Toro-Fed,,83,108,6.5,
2016,West Toro-Fed,,76,99,5.5,
2016,West Toro-Fed,,78,101,4.5,
2016,West Toro-Fed,,51,66,1.5,
2016,West Toro-Fed,,77,100,3.5,
2016,West Toro-Fed,,84,109,4.5,
2016,Yana,,93,121,6.5,
2016,West Toro-Fed,,60,78,6.5,
2016,West Toro-Fed,,68,88,4.5,
2016,West Toro-Fed,,45,58,0.5,
2016,West Toro-Fed,,93,121,6.5,
2016,East Yana,,,68,0.5,
2016,East Yana,,,58,0.5,
2016,West Yana,,,44,0.5,
2016,West Yana,,,52,0.5,
2016,West Yana,,,37,0.5,
2016,West Yana,,,47,0.5,
2016,West Yana,,,108,8.5,
2016,West Yana,,,122,8.5,
2016,West Toro-Fed,,82,106,5.5,
2016,West Toro-Fed,,89,116,8.5,
2016,West Toro-Fed,,79,103,8.5,
2016,West Toro-Fed,,86,112,5.5,
2016,West Toro-Fed,,86,112,4.5,
2016,West Toro-Fed,,78,101,4.5,
2016,West Toro-Fed,,66,86,2.5,
2016,West Toro-Fed,,83,108,5.5,
2016,West Toro-Fed,,65,84,3.5,
2016,West Toro-Fed,,66,86,3.5,
2016,West Toro-Fed,,82,106,3.5,
2016,West Toro-Fed,,83,108,6.5,
2016,East Yana,,,52,0.5,
2016,East Yana,,,62,0.5,
2016,East Yana,,,55,0.5,
2016,West Yana,,,53,0.5,
2016,West Yana,,,45,0.5,
2016,West Yana,,,54,0.5,
2016,West Yana,,,53,0.5,
2016,West Yana,,,122,8.5,
2016,West Yana,,,106,8.5,
2016,West Toro-Fed,,85,110,5.5,
2016,West Toro-Fed,,61,79,2.5,
2016,West Toro-Fed,,76,99,6.5,
2016,West Toro-Fed,,1.5,2,1.5,
2016,West Toro-Fed,,80,104,6.5,
2016,West Toro-Fed,,86,112,6.5,
2016,West Toro-Fed,,74,96,7.5,
2016,West Toro-Fed,,76,99,4.5,
2016,West Toro-Fed,,65,84,3.5,
2016,East Yana,,,74,1.5,
2016,East Yana,,,48,0.5,
2016,East Yana,,,45,0.5,
2016,East Yana,,,57,0.5,
2016,East Yana,,,54,0.5,
2016,East Yana,,,92,3.5,
2016,East Yana,,,61,0.5,
2016,West Yana,,,41,0.5,
2016,West Yana,,,52,0.5,
2016,West Yana,,,52,0.5,
2016,West Yana,,,49,0.5,
2016,West Yana,,,39,0.5,
2016,West Yana,,,50,0.5,
2016,West Toro-Fed,,56,73,1.5,
2016,West Toro-Fed,,70,91,3.5,
2016,West Toro-Fed,,63,82,3.5,
2016,West Toro-Fed,,78,101,3.5,
2016,West Toro-Fed,,81,105,4.5,
2016,West Toro-Fed,,89,116,4.5,
2016,West Toro-Fed,,77,100,3.5,
2016,West Toro-Fed,,88,114,6.5,
2016,West Toro-Fed,,45,58,1.5,
2016,West Toro-Fed,,81,105,5.5,
2016,West Toro-Fed,,78,101,6.5,
2016,West Toro-Fed,,62,80,2.5,
2016,West Toro-Fed,,80,104,6.5,
2016,West Toro-Fed,,28,36,0.5,
2016,West Toro-Fed,,55,71,2.5,
2016,West Toro-Fed,,71,92,4.5,
